"id_individual","id_unit","time","out_cont_1"
1,1,1,-0.0048525640659728
1,1,2,-0.475795510995409
1,1,3,-0.720223637983283
1,1,4,-0.301362512920768
1,1,5,-0.696297109720917
1,1,6,-0.143750282706109
1,1,7,-0.391481505696855
1,1,8,-0.431511056630707
1,1,9,-0.131368628938804
1,1,10,0.165612732023542
1,1,11,0.131741616390321
1,1,12,0.0641400168183864
1,1,13,-1.55677026831917
1,1,14,-0.929600401895479
1,1,15,0.221501281524314
1,1,16,-0.10263115641589
1,1,17,-0.778909744119193
1,1,18,-0.353594030512369
1,1,19,-0.667929569086554
1,1,20,-0.664678236121842
1,1,21,-0.39117071359765
1,1,22,-0.563297421894749
1,1,23,-0.752940259399822
1,1,24,-0.280236886945203
1,1,25,-0.140755571478904
1,1,26,-0.418112634351937
1,1,27,-0.646908883502492
1,1,28,-1.48951984212585
1,1,29,-1.34154377562914
1,1,30,-1.03515548419269
1,1,31,-0.169068960056641
1,1,32,0.308769375844217
1,1,33,-0.463924794765039
1,1,34,-0.427186339440669
1,1,35,-1.66817355209029
1,1,36,-1.48677959319348
1,1,37,0.363369347400062
1,1,38,-0.300454981305996
1,1,39,-0.145413674484895
1,1,40,-2.2293924182819
1,1,41,-1.99164027730863
1,1,42,-0.893892427155551
1,1,43,-0.810245061362284
1,1,44,0.178403681792638
1,1,45,-0.811965840851
1,1,46,-1.98548371898793
1,1,47,-1.38428634313353
1,1,48,-0.632802114617491
1,1,49,-0.265242043545666
1,1,50,-0.713519096385913
1,1,51,-0.811737472320516
1,1,52,-1.77243833941959
1,1,53,-1.18009018867736
1,1,54,-0.459353728628617
1,1,55,-0.801790403448234
1,1,56,-0.295020262280578
1,1,57,-0.628572941504432
1,1,58,-0.496554062594019
1,1,59,-0.355978770969838
1,1,60,0.0096882212082347
1,1,61,-0.132650845289591
1,1,62,-0.245052804166825
1,1,63,0.365188191592816
1,1,64,-0.141877665982275
1,1,65,-0.047799989402847
1,1,66,0.00047255151249503
1,1,67,0.00456867405324429
1,1,68,-0.579463404652139
1,1,69,-0.68953246539871
1,1,70,-0.152432131359308
1,1,71,-0.355980505659939
1,1,72,-0.713273979137105
1,1,73,-0.923017008608093
1,1,74,-0.543488808723623
1,1,75,-0.608692933471057
1,1,76,-0.823624596713855
1,1,77,-0.306856525794298
1,1,78,-0.49948831943053
1,1,79,-0.721875576091358
1,1,80,-1.5246117726162
1,1,81,-0.766702884289877
1,1,82,0.695902745973938
1,1,83,-0.00031274797214216
1,1,84,0.298063734294856
1,1,85,0.406472213298626
1,1,86,-0.285156168505441
1,1,87,-1.07425797919493
1,1,88,-0.311388951354795
1,1,89,-0.364966440589817
1,1,90,-0.437390267738253
1,1,91,-0.651649968684435
1,1,92,-0.365088897568245
1,1,93,-0.205686277367017
1,1,94,0.273110880733814
1,1,95,0.219231367170128
1,1,96,0.0577537198334227
1,1,97,-1.02687346074474
1,1,98,-0.823451601253026
1,1,99,-0.181160236389648
2,2,1,-0.452853223947532
2,2,2,-1.0566381199698
2,2,3,-0.704152481518513
2,2,4,-0.985810406449596
2,2,5,-1.05238664913735
2,2,6,-1.15385054019096
2,2,7,-0.74195631419814
2,2,8,-0.717966228305396
2,2,9,-0.670783016636803
2,2,10,-0.811495377060102
2,2,11,-1.54445249357251
2,2,12,-1.52300747404652
2,2,13,-0.959857206582775
2,2,14,-0.911456319352077
2,2,15,-1.07567657466429
2,2,16,-0.81886964305531
2,2,17,0.108008415222736
2,2,18,-0.910251244409258
2,2,19,-0.250272922699601
2,2,20,0.106888986843517
2,2,21,0.181426762184316
2,2,22,-1.09533512825169
2,2,23,-0.341232709786317
2,2,24,-0.268126295002647
2,2,25,-0.88113356081442
2,2,26,-0.516793212086147
2,2,27,0.011576889540378
2,2,28,0.191440474493958
2,2,29,0.00782006308183639
2,2,30,-1.12964082436968
2,2,31,-1.13216563894882
2,2,32,0.294515570849687
2,2,33,-0.155176671228533
2,2,34,-0.0864991987627487
2,2,35,-0.661899687803378
2,2,36,0.298015635454096
2,2,37,-0.646991996341252
2,2,38,-0.377930438581984
2,2,39,-0.296647458008335
2,2,40,-0.830332344275562
2,2,41,0.0971781580416146
2,2,42,0.622448760385405
2,2,43,-0.491012373023505
2,2,44,-0.227134165951209
2,2,45,0.281034323282359
2,2,46,0.0357652797950902
2,2,47,0.0492218658566839
2,2,48,-0.240641701418491
2,2,49,0.199682582507265
2,2,50,0.0445769014530896
2,2,51,-0.195633281672013
2,2,52,-0.142671897922637
2,2,53,-0.338235207960214
2,2,54,-0.165677610562697
2,2,55,-1.24338682789266
2,2,56,-1.15076573585295
2,2,57,0.0456276886757794
2,2,58,-0.735655190699551
2,2,59,0.486960368812479
2,2,60,0.260984483662536
2,2,61,0.203514194534018
2,2,62,-0.101484135004719
2,2,63,0.0616575189262455
2,2,64,1.37229764063873
2,2,65,0.382375282130355
2,2,66,0.203713848494591
2,2,67,0.00620945993453426
2,2,68,-0.600855907465118
2,2,69,-1.71329870760532
2,2,70,-1.38874887506712
2,2,71,-0.268226765478179
2,2,72,-0.865672052094252
2,2,73,-1.83049767805778
2,2,74,-0.615925667829325
2,2,75,0.515590069855162
2,2,76,-0.462156480437371
2,2,77,-0.415774140437611
2,2,78,-0.383814214016131
2,2,79,-0.235844135817322
2,2,80,0.193442388589418
2,2,81,0.685433815385133
2,2,82,0.874576607662005
2,2,83,-0.745530902676291
2,2,84,-0.510253214854641
2,2,85,-1.68415047220123
2,2,86,-1.51832173984336
2,2,87,-1.45277836894478
2,2,88,0.790799450325573
2,2,89,-0.308639278118294
2,2,90,-1.07564373252542
2,2,91,-0.691908868823986
2,2,92,-0.345759416695371
2,2,93,-0.249708595957451
2,2,94,-0.717796479158108
2,2,95,-0.678878307995207
2,2,96,0.115934354785668
2,2,97,-1.12873900947852
2,2,98,-1.19119055129623
2,2,99,-0.429021630893156
3,3,1,-0.341286047335996
3,3,2,-0.615589465183365
3,3,3,-1.4005811194033
3,3,4,-0.983694707478109
3,3,5,-0.975428444477081
3,3,6,-1.12225795317946
3,3,7,-2.05050578349846
3,3,8,-1.01077694166217
3,3,9,-1.4953236460317
3,3,10,-0.30565878423055
3,3,11,-0.446986761178752
3,3,12,-0.0237305398857443
3,3,13,-0.0899655565790617
3,3,14,-0.0395756159207808
3,3,15,0.384638789306143
3,3,16,0.310010715748121
3,3,17,-0.309084483842307
3,3,18,-0.341881013398402
3,3,19,-1.52833381744584
3,3,20,-0.51168905908325
3,3,21,-0.379344436146306
3,3,22,-0.753502562042489
3,3,23,-0.248051571423605
3,3,24,-0.676756823856101
3,3,25,0.41788291061859
3,3,26,-0.793438789415025
3,3,27,-1.28887746021655
3,3,28,-0.721600694703192
3,3,29,0.412634868205406
3,3,30,-0.958489196849688
3,3,31,-0.714905088581164
3,3,32,-0.672105041125922
3,3,33,-0.8419161857575
3,3,34,-0.147268668358764
3,3,35,-1.27438227698799
3,3,36,-1.20212776354727
3,3,37,-0.921946698744181
3,3,38,-0.038095315172599
3,3,39,-0.0632280362524733
3,3,40,0.325503583717302
3,3,41,-1.382287518988
3,3,42,-1.99313411835171
3,3,43,-1.37804572450619
3,3,44,-0.220443379118338
3,3,45,-0.794656538538793
3,3,46,-0.754968887227107
3,3,47,-1.30409287082073
3,3,48,-1.5208829317742
3,3,49,-1.84408766504896
3,3,50,-1.30914832705586
3,3,51,-0.0838246166540692
3,3,52,0.431770383612471
3,3,53,-0.416080505441306
3,3,54,-0.691573384399804
3,3,55,-1.2690496094441
3,3,56,-1.87702607470028
3,3,57,-1.38966390350237
3,3,58,-2.09958526228278
3,3,59,-1.85013600614735
3,3,60,-0.843921924311215
3,3,61,-1.44586065768697
3,3,62,-1.04425217254626
3,3,63,-0.566425141675496
