"pi_1","pi_2","mse_or","mse_ipw","mse_aipw1","mse_aipw2","abias_or","abias_ipw","abias_aipw1","abias_aipw2","var_or","var_ipw","var_aipw1","var_aipw2"
0.1,0.1,0.104780974965129,0.104780974965129,0.104780974965129,0.104780974965129,0.260537117125223,0.260537117125223,0.260537117125223,0.260537117125223,0.104830209967088,0.104830209967088,0.104830209967088,0.104830209967088
0.1,0.11,0.0962013790340435,0.0959598639555634,0.0959598639555634,0.0959598639555634,0.246984074113939,0.246523639585066,0.246523639585066,0.246523639585066,0.095751438164684,0.0959270366249041,0.0959270366249041,0.0959270366249041
0.11,0.11,0.0988182646935818,0.0988182646935818,0.0988182646935818,0.0988182646935818,0.249233987367177,0.249233987367177,0.249233987367177,0.249233987367177,0.0988656371954686,0.0988656371954686,0.0988656371954686,0.0988656371954686
0.1,0.12,0.0905191645010223,0.0912247328352942,0.0912247328352942,0.0912247328352942,0.236757587482038,0.237196851242908,0.237196851242908,0.237196851242908,0.0903546084100998,0.0911481191459723,0.0911481191459723,0.0911481191459723
0.11,0.12,0.0912895530264942,0.091323664639011,0.091323664639011,0.091323664639011,0.24356307643808,0.243876410702447,0.243876410702447,0.243876410702447,0.0911286680873787,0.0913653839042707,0.0913653839042707,0.0913653839042707
0.12,0.12,0.0929978042316501,0.0929978042316501,0.0929978042316501,0.0929978042316501,0.241636556284212,0.241636556284212,0.241636556284212,0.241636556284212,0.0930291560216314,0.0930291560216314,0.0930291560216314,0.0930291560216314
0.1,0.13,0.0876621126416618,0.0877062819406548,0.0877062819406548,0.0877062819406548,0.234170868480465,0.234806067043885,0.234806067043885,0.234806067043885,0.0861645372845646,0.0877452125547341,0.0877452125547341,0.0877452125547341
0.11,0.13,0.0896135004845585,0.090067056737417,0.090067056737417,0.090067056737417,0.237973283729588,0.238631118013243,0.238631118013243,0.238631118013243,0.089377943620166,0.0900650683937179,0.0900650683937179,0.0900650683937179
0.12,0.13,0.0824903943371068,0.0828366270029993,0.0828366270029993,0.0828366270029993,0.228934009881491,0.229276462823924,0.229276462823924,0.229276462823924,0.0825292235840373,0.0827098407373605,0.0827098407373605,0.0827098407373605
0.13,0.13,0.0919707980341807,0.0919707980341807,0.0919707980341807,0.0919707980341807,0.239691140638572,0.239691140638572,0.239691140638572,0.239691140638572,0.0920166641008163,0.0920166641008163,0.0920166641008163,0.0920166641008163
0.1,0.14,0.0851868296441166,0.0838926902762125,0.0838926902762125,0.0838926902762125,0.232782919792741,0.230354575931041,0.230354575931041,0.230354575931041,0.0816685843366572,0.0837661062464509,0.0837661062464509,0.0837661062464509
0.11,0.14,0.0845438748464145,0.0843311306284212,0.0843311306284212,0.0843311306284212,0.232209730051067,0.231955889091412,0.231955889091412,0.231955889091412,0.0832930936320719,0.0843703146620719,0.0843703146620719,0.084370314662072
0.12,0.14,0.0790067830264474,0.0795930439509059,0.0795930439509059,0.0795930439509059,0.2249353462922,0.225557205260938,0.225557205260938,0.225557205260938,0.0790013462941954,0.0793978921872398,0.0793978921872398,0.0793978921872398
0.13,0.14,0.0808443165382352,0.0810473828746478,0.0810473828746478,0.0810473828746478,0.226985333620403,0.227530627280201,0.227530627280201,0.227530627280201,0.0808842643165545,0.080987058301882,0.080987058301882,0.080987058301882
0.14,0.14,0.0785584591284972,0.0785584591284972,0.0785584591284972,0.0785584591284972,0.22370871401465,0.22370871401465,0.22370871401465,0.22370871401465,0.0785968557622065,0.0785968557622065,0.0785968557622065,0.0785968557622065
0.1,0.15,0.0799958072332119,0.0806721918806013,0.0806721918806013,0.0806721918806013,0.227041547469466,0.228060073532895,0.228060073532895,0.228060073532895,0.077397936373559,0.0806771715894188,0.0806771715894188,0.0806771715894188
0.11,0.15,0.0802097264940949,0.0810459966982642,0.0810459966982642,0.0810459966982642,0.225205001898582,0.225809302822278,0.225809302822278,0.225809302822278,0.0790214078791825,0.0810109894117741,0.0810109894117741,0.0810109894117741
0.12,0.15,0.0743541987157072,0.0741081529733232,0.0741081529733232,0.0741081529733232,0.216296814348922,0.215640730056117,0.215640730056117,0.215640730056117,0.0732189606152638,0.074140854584221,0.074140854584221,0.074140854584221
0.13,0.15,0.0803037205003776,0.0804904312235703,0.0804904312235703,0.0804904312235703,0.225590821312488,0.225456682751681,0.225456682751681,0.225456682751681,0.0800582981145589,0.0805164916387673,0.0805164916387673,0.0805164916387673
0.14,0.15,0.0737637926824183,0.0737295333491715,0.0737295333491715,0.0737295333491715,0.216705825751471,0.216756352660502,0.216756352660502,0.216756352660502,0.073697303943458,0.0737663858815809,0.0737663858815809,0.0737663858815809
0.15,0.15,0.077532660567732,0.077532660567732,0.077532660567732,0.077532660567732,0.224288662723285,0.224288662723285,0.224288662723285,0.224288662723285,0.0775324044057751,0.0775324044057751,0.0775324044057751,0.0775324044057751
0.1,0.16,0.080607585499684,0.0802433419276365,0.0802433419276365,0.0802433419276365,0.225126792964941,0.224302189739477,0.224302189739477,0.224302189739477,0.0763167502033031,0.0802827288349609,0.0802827288349609,0.0802827288349609
0.11,0.16,0.0754734831439429,0.0761405544235066,0.0761405544235066,0.0761405544235066,0.218544941224222,0.219144876559518,0.219144876559518,0.219144876559518,0.0729177043109332,0.0761744132276643,0.0761744132276643,0.0761744132276643
0.12,0.16,0.0713246870369715,0.0714129989595301,0.0714129989595301,0.0714129989595301,0.212472123280634,0.211396695727465,0.211396695727465,0.211396695727465,0.070125437082682,0.071410325082425,0.071410325082425,0.071410325082425
0.13,0.16,0.0786718418897549,0.0787940229462811,0.0787940229462811,0.0787940229462811,0.225128138630599,0.224571029122278,0.224571029122278,0.224571029122278,0.0777748196165826,0.0788334081227107,0.0788334081227107,0.0788334081227107
0.14,0.16,0.0673218939003868,0.0669370181020616,0.0669370181020616,0.0669370181020616,0.207239704517564,0.206856236852523,0.206856236852523,0.206856236852523,0.0664793596398948,0.0668686049206733,0.0668686049206733,0.0668686049206733
0.15,0.16,0.0776501818975078,0.0775336967481765,0.0775336967481765,0.0775336967481765,0.221208135820492,0.221041048196937,0.221041048196937,0.221041048196937,0.0774203378221147,0.0775256492767282,0.0775256492767282,0.0775256492767282
0.16,0.16,0.0691446131546152,0.0691446131546152,0.0691446131546152,0.0691446131546152,0.209282551769235,0.209282551769235,0.209282551769235,0.209282551769235,0.0691688866879567,0.0691688866879567,0.0691688866879567,0.0691688866879567
0.1,0.17,0.0765687418503927,0.0767776370768429,0.0767776370768429,0.0767776370768429,0.219474606619022,0.220204650931985,0.220204650931985,0.220204650931985,0.0719208926345914,0.0767554306873012,0.0767554306873012,0.0767554306873012
0.11,0.17,0.076254867624575,0.0759827095651509,0.0759827095651509,0.0759827095651509,0.219602800068484,0.218184625151476,0.218184625151476,0.218184625151476,0.0727906921577897,0.0760058006905235,0.0760058006905235,0.0760058006905235
0.12,0.17,0.0663722187358888,0.0657517543533016,0.0657517543533016,0.0657517543533016,0.205332818063581,0.204730352839703,0.204730352839703,0.204730352839703,0.0640521776471687,0.0657818785520838,0.0657818785520838,0.0657818785520838
0.13,0.17,0.0700088471264502,0.0701357825607696,0.0701357825607696,0.0701357825607696,0.209232833942038,0.209587462266603,0.209587462266603,0.209587462266603,0.0685631885620856,0.0701699670605289,0.0701699670605289,0.0701699670605289
0.14,0.17,0.0697672574065884,0.0697685960285724,0.0697685960285724,0.0697685960285724,0.207668212959077,0.207027972862894,0.207027972862894,0.207027972862894,0.0691979473727024,0.0697862093448521,0.0697862093448521,0.0697862093448521
0.15,0.17,0.0682568734234532,0.0682968266430043,0.0682968266430043,0.0682968266430043,0.210868980069732,0.210853740250993,0.210853740250993,0.210853740250993,0.0680334041026533,0.0683246445109931,0.0683246445109931,0.0683246445109931
0.16,0.17,0.0663576060652426,0.0662692071818599,0.0662692071818599,0.0662692071818599,0.204262187602727,0.203915602285267,0.203915602285267,0.203915602285267,0.0662084049812786,0.066282619373332,0.066282619373332,0.066282619373332
0.17,0.17,0.0649512836381887,0.0649512836381887,0.0649512836381887,0.0649512836381887,0.203646267941041,0.203646267941041,0.203646267941041,0.203646267941041,0.0649778312347665,0.0649778312347666,0.0649778312347666,0.0649778312347665
0.1,0.18,0.0720574027142617,0.0704267073609423,0.0704267073609423,0.0704267073609423,0.212511552902119,0.209718030820781,0.209718030820781,0.209718030820781,0.0652006466684787,0.0704606302355087,0.0704606302355087,0.0704606302355087
0.11,0.18,0.0704465325902586,0.0682932298264475,0.0682932298264475,0.0682932298264475,0.209474169836217,0.207109957951323,0.207109957951323,0.207109957951323,0.0645403349944394,0.0682860379489315,0.0682860379489315,0.0682860379489315
0.12,0.18,0.0693833208371017,0.069331065632846,0.069331065632846,0.069331065632846,0.212757354569977,0.212567444658313,0.212567444658313,0.212567444658313,0.0667135802506263,0.0693207282525559,0.0693207282525559,0.0693207282525559
0.13,0.18,0.0690160477583947,0.0677539725349549,0.0677539725349549,0.0677539725349549,0.211637358928955,0.209607933177787,0.209607933177787,0.209607933177787,0.0655319394284482,0.0676466787262531,0.0676466787262531,0.0676466787262531
0.14,0.18,0.0691712278820097,0.0684755912157226,0.0684755912157226,0.0684755912157226,0.210586546287121,0.209022058447809,0.209022058447809,0.209022058447809,0.0671774857635981,0.0684532244063189,0.0684532244063189,0.0684532244063189
0.15,0.18,0.0676692610040804,0.067854474695002,0.067854474695002,0.067854474695002,0.20811016652302,0.208579978145811,0.208579978145811,0.208579978145811,0.0671729254529002,0.0678712454766352,0.0678712454766352,0.0678712454766352
0.16,0.18,0.0634534573562724,0.0633775337990374,0.0633775337990374,0.0633775337990374,0.201035857185798,0.20105446241393,0.20105446241393,0.20105446241393,0.063179229223743,0.0634091851885523,0.0634091851885523,0.0634091851885523
0.17,0.18,0.0621068526986314,0.06212841402156,0.06212841402156,0.06212841402156,0.198706663244024,0.198727752837487,0.198727752837487,0.198727752837487,0.0621053003167173,0.0621505796319343,0.0621505796319343,0.0621505796319343
0.18,0.18,0.0578973734621702,0.0578973734621702,0.0578973734621702,0.0578973734621702,0.191835732317894,0.191835732317894,0.191835732317894,0.191835732317894,0.0579118811270388,0.0579118811270388,0.0579118811270388,0.0579118811270388
0.1,0.19,0.0715039405162983,0.069007923784888,0.069007923784888,0.069007923784888,0.21340047134453,0.209012053098142,0.209012053098142,0.209012053098142,0.0619446675277613,0.0689746350802413,0.0689746350802413,0.0689746350802413
0.11,0.19,0.0723364936859482,0.0725015388935546,0.0725015388935546,0.0725015388935546,0.215167177756666,0.215786275109212,0.215786275109212,0.215786275109212,0.0668733904514585,0.0725118042554049,0.0725118042554049,0.0725118042554049
0.12,0.19,0.067619399278338,0.0659078964242281,0.0659078964242281,0.0659078964242281,0.207857886535291,0.204652622479267,0.204652622479267,0.204652622479267,0.0625564223882344,0.0659148605046776,0.0659148605046776,0.0659148605046776
0.13,0.19,0.0649761097557887,0.0652252078787641,0.0652252078787641,0.0652252078787641,0.203705614856695,0.204211015207049,0.204211015207049,0.204211015207049,0.0628248460361696,0.0651666145263417,0.0651666145263417,0.0651666145263417
0.14,0.19,0.0616899697561826,0.061913610186392,0.061913610186392,0.061913610186392,0.196278785903873,0.196759270112215,0.196759270112215,0.196759270112215,0.0602876611586031,0.0618817358093194,0.0618817358093194,0.0618817358093194
0.15,0.19,0.0638522639563376,0.0640631317548866,0.0640631317548866,0.0640631317548866,0.202241926466037,0.202597433584154,0.202597433584154,0.202597433584154,0.0629816037525382,0.0640716614999461,0.0640716614999461,0.0640716614999461
0.16,0.19,0.0673472298092022,0.0670771519523141,0.0670771519523141,0.0670771519523141,0.206559757463316,0.206120357455474,0.206120357455474,0.206120357455474,0.0666277136746249,0.0671079390489048,0.0671079390489048,0.0671079390489048
0.17,0.19,0.0631701234850761,0.0634376897881364,0.0634376897881364,0.0634376897881364,0.201043359543054,0.201379889818382,0.201379889818382,0.201379889818382,0.0631611969563586,0.063356723087282,0.063356723087282,0.063356723087282
0.18,0.19,0.0574628943658906,0.0575134758344813,0.0575134758344813,0.0575134758344813,0.192868364193856,0.192953859138101,0.192953859138101,0.192953859138101,0.0574902085207168,0.0574915902974648,0.0574915902974648,0.0574915902974648
0.19,0.19,0.0626787480329631,0.0626787480329631,0.0626787480329631,0.0626787480329631,0.19813271269354,0.19813271269354,0.19813271269354,0.19813271269354,0.0626641761113086,0.0626641761113086,0.0626641761113086,0.0626641761113086
0.1,0.2,0.0663117366108807,0.0635648045609569,0.0635648045609569,0.0635648045609569,0.205305489549794,0.20093032934863,0.20093032934863,0.20093032934863,0.0565103876049396,0.0635962016042712,0.0635962016042712,0.0635962016042712
0.11,0.2,0.0687610409367391,0.0683550310635962,0.0683550310635962,0.0683550310635963,0.208517609462884,0.208504703015347,0.208504703015347,0.208504703015347,0.0625540383512124,0.0683342789167991,0.0683342789167991,0.0683342789167991
0.12,0.2,0.0636674753493384,0.0629659655832446,0.0629659655832446,0.0629659655832446,0.203056265502257,0.201719670680112,0.201719670680112,0.201719670680112,0.0584516274237154,0.0629921871270285,0.0629921871270285,0.0629921871270285
0.13,0.2,0.0650524430693691,0.0648162857502495,0.0648162857502495,0.0648162857502495,0.205270111468752,0.204359633268812,0.204359633268812,0.204359633268812,0.0616710328772264,0.0648234917842494,0.0648234917842494,0.0648234917842494
0.14,0.2,0.0636842863097832,0.0625042870373409,0.0625042870373409,0.0625042870373409,0.201754166813922,0.19893430504983,0.19893430504983,0.19893430504983,0.0609105417984996,0.0625349928961676,0.0625349928961676,0.0625349928961676
0.15,0.2,0.0617747417724472,0.0622581530874339,0.0622581530874339,0.0622581530874339,0.198766134898055,0.198648763078821,0.198648763078821,0.198648763078821,0.0607390187044271,0.062173929861901,0.062173929861901,0.062173929861901
0.16,0.2,0.0606873630322927,0.059855828452451,0.059855828452451,0.059855828452451,0.196503578978553,0.195611216436138,0.195611216436138,0.195611216436138,0.0590613248225963,0.0598440063590675,0.0598440063590675,0.0598440063590676
0.17,0.2,0.0616245125230137,0.0615223942608126,0.0615223942608126,0.0615223942608126,0.197604602539815,0.197815003212361,0.197815003212361,0.197815003212361,0.0610192467669517,0.0615528758559313,0.0615528758559313,0.0615528758559313
0.18,0.2,0.0610125429485397,0.0611278796902545,0.0611278796902545,0.0611278796902545,0.196250980706349,0.196714898345613,0.196714898345613,0.196714898345613,0.0609392998422136,0.0611215785754633,0.0611215785754633,0.0611215785754633
0.19,0.2,0.0627106225777691,0.0626210985652663,0.0626210985652663,0.0626210985652663,0.19930259682374,0.199278160597587,0.199278160597587,0.199278160597587,0.0626013649200451,0.0626372588422573,0.0626372588422573,0.0626372588422573
0.2,0.2,0.0586981014346156,0.0586981014346156,0.0586981014346156,0.0586981014346156,0.19376490455103,0.19376490455103,0.19376490455103,0.19376490455103,0.0587161079406603,0.0587161079406603,0.0587161079406603,0.0587161079406603
0.1,0.21,0.0674556790285016,0.0665013658596028,0.0665013658596028,0.0665013658596028,0.205278475431807,0.205199277301511,0.205199277301511,0.205199277301511,0.057916025671901,0.066487430245961,0.066487430245961,0.066487430245961
